booth_code,exhibitor_name
D25,KADULLA PUBLICATIONS
D27,PROGRESSIVE PUBLISHING HOUSE PVT LTD
D28,SUBHA PUBLISHERS
D29,SUSARA PUBLICATIONS
H03,MINSARA PUBLISHERS
H04,MINSARA PUBLISHERS
H05,MINSARA PUBLISHERS
H06,MINSARA PUBLISHERS
H08,THOTHANNA PUBLISHING HOUSE
H09,SHIKSHA MANDIRA PUBLICATIONS
H10,NATIONAL LIBRARY AND DOCUMENTATION SERVICES BOARD
H11,DENUMA PUBLISHERS
H12,AGAHAS PUBLISHERS
H13,PRIYANKARA BOOKSHOP
H14,DIGITAL ARENA
H17,MAKKMILAN BOOK DEPOT
H18,MAKKMILAN BOOK DEPOT
H19,COLORCRAFT
H20,COLORCRAFT
H21,IMASHI
H22,IMASHI
H23,IMASHI
H24,M D GUNASENA
H25,M D GUNASENA
H26,M D GUNASENA
H27,M D GUNASENA
H28,M D GUNASENA
H29,M D GUNASENA
H30,IMASHI
H31,IMASHI
H32,IMASHI
H33,COLORCRAFT
H34,COLORCRAFT
H35,AHASA BOOKS
H36,AHASA BOOKS
H37,SHAAKYA PUBLICATIONS
H38,DEEN THE BOOKMAN
H39,DEEN THE BOOKMAN
H40,SITHUWILI PUBLICATION
H41,LUMINEX BOOK SHOP PVT LTD
H42,SARATH BOOKS
H43,MAPED
H44,MAPED
H45,ARATUWA
H46,ARATUWA
H47,ARATUWA
H48,ARATUWA
H49,IBMC
H50,IBMC
H51,IBMC
H52,IBMC
H53,IBMC
H56,CHEMAMADU PUBLICATION
H57,CHEMAMADU PUBLICATION
H58,WARNASOORIYA BOOK SHOP
H59,WARNASOORIYA BOOK SHOP
H61,KUMARA S PATHIARANA PUBLISHERS
H62,KUMARA S PATHIARANA PUBLISHERS
H63,PREMASIRI BOOK SHOP
H64,THE READING BOOK HOUSE PVT LTD
H65,THE READING BOOK HOUSE PVT LTD
H66,SHAN PRINT AND GRAPHIC SYSTEM
H67,SHAN PRINT AND GRAPHIC SYSTEM
H68,IBMC
H69,IBMC
H70,IBMC
H71,IBMC
H72,IBMC
H73,ARATUWA
H74,ARATUWA
H75,ARATUWA
H76,ARATUWA
H77,WARNA GRAPHIC
H78,WARNA GRAPHIC
H79,WARNA GRAPHIC
H80,WARNA GRAPHIC
H84,PETERS BOOK SHOP
H85,RICHARD
H86,RICHARD
H87,DESHAPPRIYA PUBLICATION
H90,ONEERO BOOK SHOP
H91,DEDUNNA BOOKS
H93,BOOKRACK PVT LTD
H94,BOOKRACK PVT LTD
H95,BOOKRACK PVT LTD
H96,BOOKRACK PVT LTD
H97,THRIMANA PUBLICATIONS
H98,ANANDA PUBLISHERS
H99,ANANDA PUBLISHERS
H100,AGASARA PUBLICATIONS
H101,AGASARA PUBLICATIONS
H102,DOMS - SPEED - LINK
H103,DOMS - SPEED - LINK
H104,OFFICE WORKS
H105,OFFICE WORKS
H106,RUHUNU STATIONERY
H107,RUHUNU STATIONERY
H108,RASAKATHA PUBLISHERS
H109,DINISA PUBLICATION
H111,LAKE HOUSE PRINTERS & PUBLISHERS
H112,STORYFLIX PRIVATE LIMITED
H113,CRAFTS INSTERNATIONAL
H114,PK PUBLISHERS
H115,SULEKA PUBLISHERS
H116,OFFICE WORKS
H117,OFFICE WORKS
H118,DOMS - SPEED - LINK
H119,DOMS - SPEED - LINK
H120,AGASARA PUBLICATIONS
H121,AGASARA PUBLICATIONS
J01,MASITHA BOOK PUBLISHERS PVT LTD
J02,MASITHA BOOK PUBLISHERS PVT LTD
J03,MASITHA BOOK PUBLISHERS PVT LTD
J04,MASITHA BOOK PUBLISHERS PVT LTD
J09,MIHIRA BOOK PUBLISHERS
J10,MIHIRA BOOK PUBLISHERS
J11,THARANGA PUBLISHERS
J12,THARANGA PUBLISHERS
J13,THARANGA PUBLISHERS
J14,SCITECH BOOKSHOP
J15,SCITECH BOOKSHOP
J16,PRATHIBHA PUBLISHERS
J17,PRATHIBHA PUBLISHERS
J17-A,PRATHIBHA PUBLISHERS
J18,SAMAGI PUBLISHERS
J19,SAMAGI PUBLISHERS
J20,SAMAGI PUBLISHERS
J21,SANKHA PUBLISHERS
J22,SANKHA PUBLISHERS
J23,SANKHA PUBLISHERS
J24,SANKHA PUBLISHERS
J25,S AND T GROUP
J26,S AND T GROUP
J27,S AND T GROUP
J28,DARSHANA PUBLISHERS
J29,DARSHANA PUBLISHERS
J30,SAMPATH BANK
